7450-798456
OS REV: 1.03 Sensor Cal: 1539277937
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1685364840,+3.46,+15.988,+10.151,+0.941
1685364900,+3.46,+16.022,+10.137,+0.942
1685364960,+3.46,+16.031,+10.121,+0.941
1685365020,+3.46,+16.022,+10.122,+0.942
1685365080,+3.46,+15.705, +9.753,+0.938
1685365140,+3.46,+14.248, +9.555,+0.937
1685365200,+3.46,+13.481, +9.761,+0.938
1685365260,+3.46,+12.990, +9.897,+0.938
1685365320,+3.46,+12.814,+10.034,+0.939
1685365380,+3.46,+13.280,+10.482,+0.942
1685365440,+3.46,+14.153,+10.414,+0.943
1685365500,+3.46,+14.638,+10.329,+0.942
1685365560,+3.46,+14.940,+10.297,+0.942
1685365620,+3.46,+13.761, +9.612,+0.937
1685365680,+3.46,+13.376,+10.055,+0.940
1685365740,+3.46,+13.665,+10.113,+0.940
1685365800,+3.46,+13.743,+10.186,+0.941
1685365860,+3.46,+13.935,+10.016,+0.940
1685365920,+3.46,+13.455,+10.127,+0.940
1685365980,+3.46,+13.691,+10.346,+0.942
1685366040,+3.46,+14.153,+10.418,+0.943
1685366100,+3.46,+14.560,+10.310,+0.943
1685366160,+3.46,+14.923,+10.236,+0.943
1685366220,+3.46,+14.465, +9.688,+0.938
1685366280,+3.46,+13.813,+10.045,+0.940
1685366340,+3.46,+13.778, +9.982,+0.939
1685366400,+3.46,+13.087, +9.881,+0.938
1685366460,+3.46,+12.646,+10.033,+0.939
1685366520,+3.46,+12.372,+10.137,+0.940
1685366580,+3.46,+12.593,+10.325,+0.940
1685366640,+3.46,+13.140,+10.484,+0.942
1685366700,+3.46,+13.892,+10.397,+0.943
1685366760,+3.46,+14.326,+10.357,+0.943
1685366820,+3.46,+14.724,+10.282,+0.943
1685366880,+3.46,+14.448, +9.481,+0.937
1685366940,+3.46,+13.140, +9.604,+0.938
1685367000,+3.46,+12.558, +9.714,+0.938
1685367060,+3.46,+12.133, +9.843,+0.939
1685367120,+3.46,+11.883, +9.947,+0.940
1685367180,+3.46,+11.678,+10.007,+0.940
1685367240,+3.46,+11.660,+10.056,+0.940
1685367300,+3.46,+11.812,+10.282,+0.941
1685367360,+3.46,+12.363,+10.524,+0.943
1685367420,+3.46,+12.981,+10.483,+0.943
1685367480,+3.46,+13.420,+10.436,+0.943
1685367540,+3.46,+13.770,+10.395,+0.943
1685367600,+3.46,+14.031,+10.300,+0.943
1685367660,+3.46,+14.257,+10.263,+0.942
1685367720,+3.46,+14.413,+10.216,+0.943
1685367780,+3.46,+14.239, +9.960,+0.940
1685367840,+3.46,+13.752,+10.038,+0.940
1685367900,+3.46,+13.324,+10.132,+0.940
1685367960,+3.46,+13.122,+10.157,+0.940
1685368020,+3.46,+12.990,+10.177,+0.940
1685368080,+3.46,+12.779,+10.293,+0.941
1685368140,+3.46,+12.743,+10.287,+0.940
1685368200,+3.46,+12.849,+10.308,+0.941
1685368260,+3.46,+12.902,+10.312,+0.941
1685368320,+3.46,+12.973,+10.267,+0.941
1685368380,+3.46,+12.973,+10.282,+0.941
1685368440,+3.46,+13.008,+10.283,+0.941
1685368500,+3.46,+13.060,+10.251,+0.941
1685368560,+3.46,+13.131,+10.227,+0.941
1685368620,+3.46,+13.166,+10.218,+0.941
1685368680,+3.46,+13.219,+10.240,+0.941
1685368740,+3.46,+13.289,+10.242,+0.941
1685368800,+3.46,+13.297,+10.231,+0.941
1685368860,+3.46,+13.271,+10.218,+0.941
1685368920,+3.46,+13.201,+10.193,+0.942
1685368980,+3.46,+13.157,+10.148,+0.941
1685369040,+3.46,+13.052,+10.195,+0.941
1685369100,+3.46,+13.017,+10.213,+0.941
1685369160,+3.46,+12.990,+10.214,+0.941
1685369220,+3.46,+12.999,+10.195,+0.941
