7450-798456
OS REV: 1.03 Sensor Cal: 1539277937
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1684587240,+3.46,+12.079, +9.948,+0.942
1684587300,+3.46,+12.053, +9.962,+0.942
1684587360,+3.46,+12.070, +9.943,+0.942
1684587420,+3.46,+12.035, +9.950,+0.942
1684587480,+3.46,+12.088, +9.931,+0.942
1684587540,+3.46,+12.026, +9.957,+0.942
1684587600,+3.46,+12.061, +9.956,+0.942
1684587660,+3.46,+12.044, +9.957,+0.942
1684587720,+3.46,+12.026, +9.969,+0.942
1684587780,+3.46,+12.053, +9.963,+0.942
1684587840,+3.46,+12.026, +9.969,+0.942
1684587900,+3.46,+12.053, +9.950,+0.942
1684587960,+3.46,+12.053, +9.962,+0.942
1684588020,+3.46,+12.053, +9.970,+0.942
1684588080,+3.46,+12.061, +9.972,+0.942
1684588140,+3.46,+12.035, +9.993,+0.942
1684588200,+3.46,+12.026, +9.996,+0.942
1684588260,+3.46,+12.026,+10.020,+0.943
1684588320,+3.46,+12.017,+10.008,+0.942
1684588380,+3.46,+12.053, +9.995,+0.942
1684588440,+3.46,+12.035, +9.990,+0.942
1684588500,+3.46,+11.990, +9.906,+0.942
1684588560,+3.46,+11.883, +9.815,+0.942
1684588620,+3.46,+11.866, +9.751,+0.942
1684588680,+3.46,+11.750, +9.682,+0.942
1684588740,+3.46,+11.651, +9.680,+0.942
1684588800,+3.46,+11.607, +9.683,+0.942
1684588860,+3.46,+11.553, +9.709,+0.942
1684588920,+3.46,+11.562, +9.703,+0.942
1684588980,+3.46,+11.580, +9.691,+0.941
1684589040,+3.46,+11.553, +9.694,+0.942
1684589100,+3.46,+11.660, +9.680,+0.942
1684589160,+3.46,+11.660, +9.722,+0.942
1684589220,+3.46,+11.732, +9.722,+0.942
1684589280,+3.46,+11.687, +9.803,+0.942
1684589340,+3.46,+11.758, +9.800,+0.942
1684589400,+3.46,+11.848, +9.785,+0.942
1684589460,+3.46,+11.794, +9.815,+0.942
